Property_ID,Listing_Title,Property_Type,Listing_Type,Created_F,Created,Scraped_F,Scraped,Latitude,Longitude,Airbnb_PID,Airbnb_HID
ab-10273331,Modern Industrial Village Studio,Serviced apartment,Entire home/apt,12/30/15,2015-12-30,5-23-19,2019-05-23,50.11773,-122.95711,10273331,23756437
ab-16162614,"Whistler, Alpine Meadows 1 Bedroom Sleeps 2",Apartment,Entire home/apt,11/26/16,2016-11-26,5-24-19,2019-05-24,50.14735,-122.9706,16162614,6641619
ab-10281648,Carleton 506 Platinum - Luxury Penthouse Slopeside,Condominium,Entire home/apt,1/1/16,2016-01-01,5-22-19,2019-05-22,50.11432,-122.95533,10281648,26808890
ab-16164368,"Studio Creekside, Bed Convertible",Apartment,Shared room,11/27/16,2016-11-27,4-11-17,2017-04-11,50.09897235,-122.9897418,16164368,40804603
ab-12671868,#504 Sunset Boulevard at Alpenglow,Apartment,Entire home/apt,4/24/16,2016-04-24,11-12-18,2018-11-12,50.1173901,-122.9565754,12671868,35146399
ab-19786792,Great Townhouse Right Off the Slopes - Ski In/Out,Townhouse,Entire home/apt,7/8/17,2017-07-08,8-30-17,2017-08-30,50.11373209,-122.9403964,19786792,114037450
ab-10312508,Sunny upgraded 1 bedroom condo in The Aspens,Apartment,Entire home/apt,5/18/17,2017-05-18,5-18-17,2017-05-18,50.11505902,-122.9440754,10312508,53042544
ab-15431808,Whistler Sundance 2 Bedroom with Loft Condo,Condominium,Entire home/apt,10/7/16,2016-10-07,5-22-19,2019-05-22,50.09107,-122.99352,15431808,16913110
ab-16173924,1 Bedroom Chateau Blvd,Apartment,Entire home/apt,11/27/16,2016-11-27,12-28-16,2016-12-28,50.11755967,-122.9443528,16173924,25777071
ab-16173938,"New, Luxury Whistler Home",House,Entire home/apt,11/27/16,2016-11-27,5-21-19,2019-05-21,50.14265,-122.95723,16173938,105588226
ab-16174105,2 Bedroom Chateau Blvd Ski In Ski Out,Apartment,Entire home/apt,11/27/16,2016-11-27,1-5-17,2017-01-05,50.11854856,-122.9459794,16174105,25777071
ab-13411795,Lake Placid Lodge 1 Bed,Apartment,Entire home/apt,6/7/16,2016-06-07,1-2-19,2019-01-02,50.09429237,-122.9920194,13411795,25777071
ab-10353329,Ski In/Ski Out! Whistler Resort!,Condominium,Entire home/apt,1/3/16,2016-01-03,8-26-16,2016-08-26,50.11724051,-122.9578672,10353329,25717018
ab-12683084,Private pond.  5 min to ski lift.,House,Entire home/apt,4/25/16,2016-04-25,9-27-16,2016-09-27,50.10236518,-122.9860158,12683084,29896656
ab-1937540,Ski/Bike In-Out Creekside 1 Bedroom,Guest suite,Entire home/apt,11/14/13,2013-11-14,5-23-19,2019-05-23,50.09375,-122.98619,1937540,1616015
ab-8640759,Spring Sale Cozy Condo @ Creekside Village,Condominium,Entire home/apt,6/20/17,2017-06-20,5-23-19,2019-05-23,50.09309,-122.99345,8640759,6113184
ab-11420112,The Aspens 1 Br Ski in Ski Out,Apartment,Entire home/apt,2/20/16,2016-02-20,5-24-19,2019-05-24,50.11526,-122.94468,11420112,41850542
ab-10380052,2BR Condo Rental~Whistler at Lake Placid Lodge,Condominium,Entire home/apt,6/9/18,2018-06-09,5-24-19,2019-05-24,50.09344,-122.99062,10380052,52651623
ab-10382934,Whistler Creekside with views,Condominium,Entire home/apt,12/19/16,2016-12-19,2-12-19,2019-02-12,50.09658328,-122.9883597,10382934,53448200
ab-241137,Whistler Benchlands 2/2 LargeCondo,Condominium,Entire home/apt,10/8/11,2011-10-08,6-12-17,2017-06-12,50.11716424,-122.9410625,241137,68738
ab-10386580,Studio at Whistler Village Centre walk to Gondola,Condominium,Entire home/apt,1/4/16,2016-01-04,12-11-18,2018-12-11,50.11537755,-122.9527718,10386580,26650418
ab-1950763,Whistler Village Steps from Gondola,Apartment,Entire home/apt,11/17/13,2013-11-17,11-29-17,2017-11-29,50.11463751,-122.9530207,1950763,1538268
ab-17847739,Bright 3 Bedroom Townhouse with Amazing Views,Townhouse,Entire home/apt,3/20/17,2017-03-20,9-18-17,2017-09-18,50.12031596,-122.9379376,17847739,122093715
